Date,Ticker,Open,High,Low,Close,Volume,VWAP,Transactions
2025-02-18,GOOG,187.44,187.78,183.58,185.8,19796028.0,185.6568,299839
2025-02-19,GOOG,186.185,187.36,185.5,187.13,13120465.0,186.6694,174337
2025-02-20,GOOG,186.5,187.12,184.6,186.64,12063807.0,186.1533,189798
2025-02-21,GOOG,187.29,187.47,181.13,181.58,19520782.0,183.2177,334661
2025-02-24,GOOG,183.8,185.09,180.88,181.19,18734014.0,182.2848,253615
2025-02-25,GOOG,180.155,180.76,176.77,177.37,20832485.0,178.2099,337126
2025-02-26,GOOG,176.945,178.08,173.59,174.7,23687651.0,175.6678,341154
2025-02-27,GOOG,175.94,176.59,169.752,170.21,25930530.0,171.8479,362970
2025-02-28,GOOG,170.3,172.5,168.39,172.22,30049812.0,170.8436,374343
2025-03-03,GOOG,173.73,175.0,167.64,168.66,24121991.0,170.4057,325142
2025-03-04,GOOG,167.94,175.165,167.54,172.61,30711408.0,171.2441,456240
2025-03-05,GOOG,172.32,175.75,170.93,174.99,18748036.0,173.6926,284020
2025-03-06,GOOG,172.55,176.73,172.508,174.21,19082404.0,174.4859,274546
2025-03-07,GOOG,173.242,176.9,172.25,175.75,16195287.0,174.7569,259337
2025-03-10,GOOG,170.16,170.45,165.565,167.81,28990724.0,167.6861,457074
2025-03-11,GOOG,166.68,168.655,163.24,165.98,23705899.0,166.2493,367939
2025-03-12,GOOG,168.47,169.53,165.48,169.0,19880062.0,168.1624,269746
2025-03-13,GOOG,167.98,168.12,164.07,164.73,15206165.0,165.4296,254033
2025-03-14,GOOG,165.315,168.25,164.51,167.62,18611094.0,166.7561,259951
2025-03-17,GOOG,167.325,168.46,165.81,166.57,17839139.0,166.9137,224126
2025-03-18,GOOG,165.96,166.44,158.8,162.67,24616784.0,161.8211,360427
2025-03-19,GOOG,163.915,168.1334,163.05,166.28,24922917.0,165.8586,284136
2025-03-20,GOOG,163.825,167.03,163.14,165.05,19981512.0,165.1925,270214
2025-03-21,GOOG,163.38,166.47,163.03,166.25,29841314.0,165.2964,205429
2025-03-24,GOOG,169.265,170.5,167.44,169.93,18742848.0,169.6109,211949
2025-03-25,GOOG,171.18,172.91,170.55,172.79,13841592.0,172.1811,171969
2025-03-26,GOOG,171.3,171.9396,166.8606,167.14,22554236.0,168.6863,303905
2025-03-27,GOOG,166.71,167.44,163.85,164.08,21571174.0,165.2406,310357
2025-03-28,GOOG,162.36,163.81,155.3394,156.06,34844462.0,157.9854,515383
2025-03-31,GOOG,154.81,157.13,152.21,156.23,33591554.0,155.1818,423266
2025-04-01,GOOG,155.3,160.08,155.255,158.88,20108776.0,158.351,322501
2025-04-02,GOOG,156.96,160.275,156.53,158.86,17113321.0,158.4484,261834
2025-04-03,GOOG,152.835,154.6872,152.18,152.63,28416065.0,153.284,446455
2025-04-04,GOOG,149.9,153.09,147.54,147.74,39832207.0,149.6992,625815
